,Author,Title,Citations,Year,Source
0,"Meir, G Rätsch",An introduction to boosting and leveraging,529,2003,http://link.springer.com/chapter/10.1007/3-540-36434-X_4
1," Kolter, MJ Johnson",REDD: A public data set for energy disaggregation research,519,0,http://ai2-s2-pdfs.s3.amazonaws.com/d85a/51e2978f4563ee74bf9a09d3219e03799819.pdf
2,"Laughman, K Lee, R Cox, S Shaw…",Power signature analysis,481,2003,http://ieeexplore.ieee.org/abstract/document/1192027/
3,"Zeifman, K Roth",Nonintrusive appliance load monitoring: Review and outlook,472,2011,http://ieeexplore.ieee.org/abstract/document/5735484/
4,"Efthymiou, G Kalogridis",Smart grid privacy via anonymization of smart metering data,441,2010,http://ieeexplore.ieee.org/abstract/document/5622050/
5," Paatero, PD Lund",A model for generating household electricity load profiles,375,2006,http://onlinelibrary.wiley.com/doi/10.1002/er.1136/full
6,"Fan, P Kulkarni, S Gormus…","Smart grid communications: Overview of research challenges, solutions, and standardization activities",350,2013,http://ieeexplore.ieee.org/abstract/document/6129368/
7,"Gupta, MS Reynolds, SN Patel",ElectriSense: single-point sensing using EMI for electrical event detection and classification in the home,340,2010,http://dl.acm.org/citation.cfm?id=1864375
8,"Zoha, A Gluhak, MA Imran, S Rajasegarar",Non-intrusive load monitoring approaches for disaggregated energy sensing: A survey,298,2012,http://www.mdpi.com/1424-8220/12/12/16838/htm
9,"Kim, M Marwah, M Arlitt, G Lyon, J Han",Unsupervised disaggregation of low frequency power measurements,284,2011,http://epubs.siam.org/doi/abs/10.1137/1.9781611972818.64
0,"Kalogridis, C Efthymiou, SZ Denic…",Privacy for smart meters: Towards undetectable appliance load signatures,285,2010,http://ieeexplore.ieee.org/abstract/document/5622047/
1,"Liang, SKK Ng, G Kendall…","Load signature study—Part I: Basic concept, structure, and methodology",281,2010,http://ieeexplore.ieee.org/abstract/document/5337912/
2," Leeb, SR Shaw, JL Kirtley",Transient event detection in spectral envelope estimates for nonintrusive load monitoring,264,1995,http://ieeexplore.ieee.org/abstract/document/400897/
3,"Rial, G Danezis",Privacy-preserving smart metering,263,2011,http://dl.acm.org/citation.cfm?id=2046564
4,"Srinivasan, WS Ng, AC Liew",Neural-network-based signature recognition for harmonic source identification,259,2006,http://ieeexplore.ieee.org/abstract/document/1564224/
5,"Kim, T Schmid, ZM Charbiwala…",ViridiScope: design and implementation of a fine grained power monitoring system for homes,256,2009,http://dl.acm.org/citation.cfm?id=1620582
6," Norford, SB Leeb",Non-intrusive electrical load monitoring in commercial buildings based on steady-state and transient load-detection algorithms,252,1996,http://www.sciencedirect.com/science/article/pii/0378778895009582
7," Kolter, T Jaakkola",Approximate inference in additive factorial hmms with application to energy disaggregation,250,2012,http://www.jmlr.org/proceedings/papers/v22/zico12.html
8," Armel, A Gupta, G Shrimali, A Albert",Is disaggregation the holy grail of energy efficiency? The case of electricity,233,2013,http://www.sciencedirect.com/science/article/pii/S0301421512007446
9,"Froehlich, E Larson, S Gupta, G Cohn…",Disaggregated end-use energy sensing for the smart grid,221,2011,http://ieeexplore.ieee.org/abstract/document/5590234/
0,"Farinaccio, R Zmeureanu",Using a pattern recognition approach to disaggregate the total electricity consumption in a house into the major end-uses,206,1999,http://www.sciencedirect.com/science/article/pii/S0378778899000079
1," Lam, GSK Fung, WK Lee",A novel method to construct taxonomy electrical appliances based on load signaturesof,195,2007,http://ieeexplore.ieee.org/abstract/document/4266955/
2," Kolter, S Batra, AY Ng",Energy disaggregation via discriminative sparse coding,188,2010,http://papers.nips.cc/paper/4054-energy-disaggregation-via-discriminative-sparse-coding
3,"Ács, C Castelluccia",I Have a DREAM!(DiffeRentially privatE smArt Metering).,183,2011,http://link.springer.com/content/pdf/10.1007/978-3-642-24178-9.pdf#page=128
4," Shaw, SB Leeb, LK Norford…",Nonintrusive load monitoring and diagnostics in power systems,182,2008,http://ieeexplore.ieee.org/abstract/document/4463663/
5,"Jiang, M Van Ly, J Taneja, P Dutta…",Experiences with a high-fidelity wireless building energy auditing network,177,2009,http://dl.acm.org/citation.cfm?id=1644050
6,"Parson, S Ghosh, MJ Weal, A Rogers",Non-Intrusive Load Monitoring Using Prior Models of General Appliance Types.,177,2012,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/viewFile/4809/5163/
7," Ruzzelli, C Nicolas, A Schoofs…",Real-time recognition and profiling of appliances through a single electricity sensor,175,2010,http://ieeexplore.ieee.org/abstract/document/5508244/
8," Marceau, R Zmeureanu",Nonintrusive load disaggregation computer program to estimate the energy consumption of major end uses in residential buildings,160,2000,http://www.sciencedirect.com/science/article/pii/S0196890499001739
9,"McLaughlin, P McDaniel, W Aiello",Protecting consumer privacy from electric load monitoring,141,2011,http://dl.acm.org/citation.cfm?id=2046720
0,"Baranski, J Voss",Genetic algorithm for pattern detection in NIALM systems,133,2004,http://ieeexplore.ieee.org/abstract/document/1400878/
1,"Suzuki, S Inagaki, T Suzuki…",Nonintrusive appliance load monitoring based on integer programming,131,2008,http://ieeexplore.ieee.org/abstract/document/4655131/
2,"Liang, SKK Ng, G Kendall…","Load signature study—Part II: Disaggregation framework, simulation, and applications",128,2010,http://ieeexplore.ieee.org/abstract/document/5337970/
3,"Wang, C Yan, F Xiao",Quantitative energy performance assessment methods for existing buildings,123,2012,http://www.sciencedirect.com/science/article/pii/S0378778812004410
4,Prudenzi,A neuron nets based procedure for identifying domestic appliances pattern-of-use from energy recordings at meter panel,122,2002,http://ieeexplore.ieee.org/abstract/document/985144/
5," Rajagopalan, L Sankar, S Mohajer…",Smart meter privacy: A utility-privacy framework,122,2011,http://ieeexplore.ieee.org/abstract/document/6102315/
6,"Batra, J Kelly, O Parson, H Dutta…",NILMTK: an open source toolkit for non-intrusive load monitoring,121,2014,http://dl.acm.org/citation.cfm?id=2602051
7,"Weiss, A Helfenstein, F Mattern…",Leveraging smart meter data to recognize home appliances,120,2012,http://ieeexplore.ieee.org/abstract/document/6199866/
8,"Makonin, F Popowich, L Bartram…",AMPds: A public dataset for load disaggregation and eco-feedback research,116,2013,http://ieeexplore.ieee.org/abstract/document/6802949/
9,"McLaughlin, D Podkuiko, S Miadzvezhanka…",Multi-vendor penetration testing in the advanced metering infrastructure,112,2010,http://dl.acm.org/citation.cfm?id=1920277
0,"Greveler, P Glösekötterz, B Justusy…",Multimedia content identification through smart meter power usage profiles,111,2012,http://search.proquest.com/openview/059b0c797d4580cd7419dc90a2462602/1?pq-origsite=gscholar&cbl=1976346
1," Berges, E Goldman, HS Matthews…",Enhancing electricity audits in residential buildings with nonintrusive load monitoring,112,2010,http://onlinelibrary.wiley.com/doi/10.1111/j.1530-9290.2010.00280.x/full
2,"Sankar, SR Rajagopalan…",Smart meter privacy: A theoretical framework,102,2013,http://ieeexplore.ieee.org/abstract/document/6308749/
3,"Rätsch, KR Müller, MK Warmuth, KP Bennett",Robust boosting via convex optimization: Theory and applications,100,2001,http://www.raetschlab.org/Members/raetsch/papers/Rae01.pdf
4,"Le Ny, GJ Pappas",Differentially private filtering,101,2014,http://ieeexplore.ieee.org/abstract/document/6606817/
5," Lee, GSK Fung, HY Lam…",Exploration on load signatures,98,2004,https://pdfs.semanticscholar.org/49c3/e69a148136868331539207f8dc2f660990ca.pdf
6,"Varodayan, A Khisti",Smart meter privacy using a rechargeable battery: Minimizing the rate of information leakage,97,2011,http://ieeexplore.ieee.org/abstract/document/5946886/
7,"Marchiori, D Hakkarinen, Q Han…",Circuit-level load monitoring for household energy management,97,2011,http://ieeexplore.ieee.org/abstract/document/5582070/
8,"Vikhorev, R Greenough, N Brown",An advanced energy management framework to promote energy awareness,96,2013,http://www.sciencedirect.com/science/article/pii/S0959652612006580
9," Chang, KL Chen, YP Tsai…",A new measurement method for power signatures of nonintrusive demand monitoring and load identification,95,2012,http://ieeexplore.ieee.org/abstract/document/6112713/
0,"Anderson, S Fuloria",Who controls the off switch?,94,2010,http://ieeexplore.ieee.org/abstract/document/5622026/
1,"Wang, G Zheng",Residential appliances identification and monitoring by a nonintrusive method,96,2012,http://ieeexplore.ieee.org/abstract/document/6032723/
2,Baumeister,Literature review on smart grid cyber security,93,2010,https://pdfs.semanticscholar.org/0ea0/4b2c12945f486c7967699f00433a8a98a1f1.pdf
3,"Berges, E Goldman, HS Matthews…",Learning systems for electric consumption of buildings,90,2009,http://ascelibrary.org/doi/abs/10.1061/41052(346)1
4,"Jawurek, M Johns, F Kerschbaum",Plug-in privacy for smart metering billing,90,2011,http://link.springer.com/content/pdf/10.1007/978-3-642-22263-4.pdf#page=201
5,"Rowe, M Berges, R Rajkumar",Contactless sensing of appliance state transitions through variations in electromagnetic fields,85,2010,http://dl.acm.org/citation.cfm?id=1878437
6,"Erkin, JR Troncos",Privacy-preserving data aggregation in smart metering systems: An overview,82,2013,http://ieeexplore.ieee.org/abstract/document/6461626/
7,"Kleiminger, C Beckel, T Staake…",Occupancy detection from electricity consumption data,84,2013,http://dl.acm.org/citation.cfm?id=2528295
8," Lee, SB Leeb, LK Norford…",Estimation of variable-speed-drive power consumption from harmonic content,81,2005,http://ieeexplore.ieee.org/abstract/document/1495528/
9,"Dong, PCM Meira, W Xu…",An event window based load monitoring technique for smart meters,81,2012,http://ieeexplore.ieee.org/abstract/document/6182599/
0,"Figueiredo, A De Almeida, B Ribeiro",Home electrical signal disaggregation for non-intrusive load monitoring (NILM) systems,73,2012,http://www.sciencedirect.com/science/article/pii/S0925231212003359
1,"Yang, N Li, Y Qi, W Qardaji, S McLaughlin…",Minimizing private data disclosures in the smart grid,76,2012,http://dl.acm.org/citation.cfm?id=2382242
2," Patel, S Gupta, MS Reynolds","The design and evaluation of an end-user-deployable, whole house, contactless power consumption sensor",76,2010,http://dl.acm.org/citation.cfm?id=1753700
3," Chang, CL Lin, JK Lee",Load identification in nonintrusive load monitoring using steady-state and turn-on transient energy algorithms,73,2010,http://ieeexplore.ieee.org/abstract/document/5472008/
4,Zeifman,Disaggregation of home energy display data using probabilistic approach,70,2012,http://ieeexplore.ieee.org/abstract/document/6170051/
5," Anderson, S Fuloria",On the Security Economics of Electricity Metering.,70,2010,http://www.cl.cam.ac.uk/~rja14/Papers/meters-weis.pdf
6,"Chen, J Dai, B Wang, S Sahu, M Naphade…",Activity analysis based on low sample rate smart meters,67,2011,http://dl.acm.org/citation.cfm?id=2020450
7,"Goncalves, A Ocneanu…",Unsupervised disaggregation of appliances using aggregated consumption data,66,2011,https://pdfs.semanticscholar.org/5531/e05c2c76b150473c218a749bd83372d691e5.pdf
8,"Spagnolli, N Corradi, L Gamberini, E Hoggan…",Eco-feedback on the go: Motivating energy awareness,64,2011,http://ieeexplore.ieee.org/abstract/document/5744061/
9,"Rouf, H Mustafa, M Xu, W Xu, R Miller…",Neighborhood watch: security and privacy analysis of automatic meter reading systems,65,2012,http://dl.acm.org/citation.cfm?id=2382246
0,"Berges, E Goldman, HS Matthews…",User-centered nonintrusive electricity load monitoring for residential buildings,63,2011,http://ascelibrary.org/doi/abs/10.1061/(ASCE)CP.1943-5487.0000108
1,"Najmeddine, KEK Drissi, C Pasquier…",State of art on load monitoring methods,66,2008,http://ieeexplore.ieee.org/abstract/document/4762669/
2,"Dong, PCM Meira, W Xu…",Non-intrusive signature extraction for major residential loads,63,2013,http://ieeexplore.ieee.org/abstract/document/6471276/
3,"Feng, FC Lee",On-line measurement on stability margin of DC distributed power system,61,2000,http://ieeexplore.ieee.org/abstract/document/822838/
4,"Hazas, A Friday, J Scott",Look back before leaping forward: Four decades of domestic energy inquiry,59,2011,http://ieeexplore.ieee.org/abstract/document/5601685/
5,"Rottondi, G Verticale, C Krauss",Distributed privacy-preserving aggregation of metering data in smart grids,59,2013,http://ieeexplore.ieee.org/abstract/document/6547841/
6,"Beckel, W Kleiminger, R Cicchetti, T Staake…",The ECO data set and the performance of non-intrusive load monitoring algorithms,59,2014,http://dl.acm.org/citation.cfm?id=2674064
7,"Baranski, J Voss",Detecting patterns of appliances from total load data using a dynamic programming approach,59,2004,http://ieeexplore.ieee.org/abstract/document/1410302/
8,"Jawurek, M Johns, K Rieck",Smart metering de-pseudonymization,57,2011,http://dl.acm.org/citation.cfm?id=2076764
9,"Weng, Y Agarwal",From buildings to smart buildings—sensing and actuation to improve energy efficiency,57,2012,http://ieeexplore.ieee.org/abstract/document/6261526/
0,"Berges, E Goldman, HS Matthews…",Training load monitoring algorithms on highly sub-metered home electricity consumption data,56,2008,http://www.sciencedirect.com/science/article/pii/S1007021408701822
1," Chang, CL Lin, HT Yang",Load recognition for different loads with the same real power and reactive power in a non-intrusive load-monitoring system,56,2008,http://ieeexplore.ieee.org/abstract/document/4537137/
2," Roos, IE Lane, EC Botha…",Using neural networks for non-intrusive monitoring of industrial electrical loads,54,1994,http://ieeexplore.ieee.org/abstract/document/351862/
3,"Shao, M Marwah, N Ramakrishnan",A temporal motif mining approach to unsupervised energy disaggregation,55,2012,http://www.ices.cmu.edu/psii/nilm/abstracts/shao_vt_nilm2012_abstract.pdf
4,"Du, L Du, B Lu, R Harley…",A review of identification and monitoring methods for electric loads in commercial and residential buildings,55,2010,http://ieeexplore.ieee.org/abstract/document/5618423/
5,"Cox, SB Leeb, SR Shaw…",Transient event detection for nonintrusive load monitoring and demand side management using voltage distortion,53,2006,http://ieeexplore.ieee.org/abstract/document/1620777/
6,"Jung, A Savvides",Estimating building consumption breakdowns using on/off state sensing and incremental sub-meter deployment,52,2010,http://dl.acm.org/citation.cfm?id=1870006
7,"Batra, M Gulati, A Singh, MB Srivastava",It's Different: Insights into home energy consumption in India,53,2013,http://dl.acm.org/citation.cfm?id=2528293
8, Chang,Non-intrusive demand monitoring and load identification for energy management systems based on transient feature analyses,53,2012,http://www.mdpi.com/1996-1073/5/11/4569/htm
9," Anderson, ME Bergés, A Ocneanu…",Event detection for non intrusive load monitoring,53,2012,http://ieeexplore.ieee.org/abstract/document/6389367/
0,"Jawurek, F Kerschbaum",Fault-Tolerant Privacy-Preserving Statistics.,51,2012,http://link.springer.com/content/pdf/10.1007/978-3-642-31680-7.pdf#page=231
1,"Tan, D Gunduz, HV Poor",Increasing smart meter privacy through energy harvesting and storage devices,52,2013,http://ieeexplore.ieee.org/abstract/document/6547840/
2," Chang, HT Yang, CL Lin",Load identification in neural networks for a non-intrusive monitoring of industrial electrical loads,51,2008,http://www.springerlink.com/index/D107864K2864Q4R8.pdf
3,"Monacchi, D Egarter, W Elmenreich…",GREEND: an energy consumption dataset of households in Italy and Austria,51,2014,http://ieeexplore.ieee.org/abstract/document/7007698/
4,"Zia, D Bruckner, A Zaidi",A hidden markov model based procedure for identifying household electric loads,51,2011,http://ieeexplore.ieee.org/abstract/document/6119826/
5,"Egarter, VP Bhuvana…",PALDi: Online load disaggregation via particle filtering,49,2015,http://ieeexplore.ieee.org/abstract/document/6881709/
6,"Parson, S Ghosh, M Weal, A Rogers",An unsupervised training method for non-intrusive appliance load monitoring,48,2014,http://www.sciencedirect.com/science/article/pii/S0004370214001003
7,"Zhao, T Jung, Y Wang, X Li",Achieving differential privacy of data disclosure in the smart grid,48,2014,http://ieeexplore.ieee.org/abstract/document/6847974/
8,"Baranski, J Voss",Nonintrusive appliance load monitoring based on an optical sensor,46,2003,http://ieeexplore.ieee.org/abstract/document/1304732/
9,"Akbar, ZA Khan",Modified nonintrusive appliance load monitoring for nonlinear devices,45,2007,http://ieeexplore.ieee.org/abstract/document/4557691/
0,"Hassan, F Javed, N Arshad",An empirical investigation of VI trajectory based load signatures for non-intrusive load monitoring,48,2014,http://ieeexplore.ieee.org/abstract/document/6575197/
1," Yang, HH Chang, CL Lin",Design a neural network for features selection in non-intrusive monitoring of industrial electrical loads,44,2007,http://ieeexplore.ieee.org/abstract/document/4281579/
2,"Marchiori, Q Han",Using circuit-level power measurements in household energy management systems,44,2009,http://dl.acm.org/citation.cfm?id=1810282
3,"McLaughlin, B Holbert, A Fawaz…",A multi-sensor energy theft detection framework for advanced metering infrastructures,44,2013,http://ieeexplore.ieee.org/abstract/document/6547839/
4," Khan, SB Leeb, MC Lee",A multiprocessor for transient event detection,43,1997,http://ieeexplore.ieee.org/abstract/document/568225/
5,"Kelly, W Knottenbelt","The UK-DALE dataset, domestic appliance-level electricity demand and whole-house demand from five UK homes",44,2015,https://www.nature.com/articles/sdata20157?WT.feed_name=subjects_scientific-data
6," Bergman, D Jin, JP Juen, N Tanaka…",Distributed non-intrusive load monitoring,43,2011,http://ieeexplore.ieee.org/abstract/document/5759180/
7,"Schoofs, A Guerrieri, DT Delaney…",Annot: Automated electricity data annotation using wireless sensor networks,43,2010,http://ieeexplore.ieee.org/abstract/document/5508248/
8,"Kamilaris, B Kalluri, S Kondepudi, TK Wai",A literature survey on measuring energy usage for miscellaneous electric loads in offices and commercial buildings,42,2014,http://www.sciencedirect.com/science/article/pii/S1364032114001981
9," Bijker, X Xia, J Zhang",Active power residential non-intrusive appliance load monitoring system,41,2009,http://ieeexplore.ieee.org/abstract/document/5308244/
0,"Beckel, L Sadamori, S Santini",Automatic socio-economic classification of households using electricity consumption data,41,2013,http://dl.acm.org/citation.cfm?id=2487175
1," Shaw, LK Norford, D Luo, SB Leeb",Detection and diagnosis of HVAC faults via electrical load monitoring,40,2002,http://www.tandfonline.com/doi/abs/10.1080/10789669.2002.10391288
2," Chang, LS Lin, N Chen…",Particle-swarm-optimization-based nonintrusive demand monitoring and load identification in smart meters,39,2013,http://ieeexplore.ieee.org/abstract/document/6504752/
3," Matthews, L Soibelman, M Berges…",Automatically disaggregating the total electrical load in residential buildings: a profile of the required solution,39,2008,https://www.researchgate.net/profile/Lucio_Soibelman/publication/241481150_Automatically_Disaggregating_the_Total_Electrical_Load_in_Residential_Buildings_a_Profile_of_the_Required_Solution/links/02e7e52b88a9dd862b000000.pdf
4,"Backes, S Meiser",Differentially private smart metering with battery recharging,41,2014,http://link.springer.com/10.1007/978-3-642-54568-9_13
5," Zaidi, F Kupzog, T Zia…",Load recognition for automated demand response in microgrids,39,2010,http://ieeexplore.ieee.org/abstract/document/5675022/
6,"Rogers, SD Ramchurn, NR Jennings",Delivering the Smart Grid: Challenges for Autonomous Agents and Multi-Agent Systems Research.,40,2012,http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/download/5103/5389
7," Clark, B Ransford, A Rahmati, S Guineau, J Sorber…",WattsUpDoc: Power Side Channels to Nonintrusively Discover Untargeted Malware on Embedded Medical Devices.,40,2013,https://www.usenix.org/system/files/conference/healthtech13/healthtech13-clark.pdf
8,"Michalik, ME Khan, WJ Bonwick, W Mielczarski",Structural modelling of energy demand in the residential sector: 1. Development of structural models,38,1997,http://www.sciencedirect.com/science/article/pii/S0360544297000297
9,"Guo, ZJ Wang, A Kashani",Home appliance load modeling from aggregated smart meter data,40,2015,http://ieeexplore.ieee.org/abstract/document/6826595/
0," Wong, YA Şekercioğlu…",Recent approaches to non-intrusive load monitoring techniques in residential settings,37,2013,http://ieeexplore.ieee.org/abstract/document/6611501/
1," Figueiredo, A De Almeida, B Ribeiro",An experimental study on electrical signature identification of non-intrusive load monitoring (nilm) systems,37,2011,https://link.springer.com/10.1007%2F978-3-642-20267-4_4
2," Leeb, JL Kirtley",A multiscale transient event detector for nonintrusive load monitoring,37,1993,http://ieeexplore.ieee.org/abstract/document/339053/
3,"Chen, L Wu",Residential appliance DR energy management with electric privacy protection by online stochastic optimization,38,2013,http://ieeexplore.ieee.org/abstract/document/6522908/
4,"Kelly, W Knottenbelt",Neural nilm: Deep neural networks applied to energy disaggregation,38,2015,http://dl.acm.org/citation.cfm?id=2821672
5,"Yan, Y Qian, H Sharif",A secure data aggregation and dispatch scheme for home area networks in smart grid,37,2011,http://ieeexplore.ieee.org/abstract/document/6133655/
6,"Chen, DJ Cook, AS Crandall",The user side of sustainability: Modeling behavior and energy usage in the home,37,2013,http://www.sciencedirect.com/science/article/pii/S1574119212001320
7,"Jawurek, F Kerschbaum, G Danezis",SoK: Privacy technologies for smart grids—A survey of options,37,2012,https://www.microsoft.com/en-us/research/wp-content/uploads/2012/11/paper.pdf
8,"Torquato, Q Shi, W Xu…",A Monte Carlo simulation platform for studying low voltage residential networks,37,2014,http://ieeexplore.ieee.org/abstract/document/6853399/
9,"H Khan, HK Le, M LeMay, P Moinzadeh…",Diagnostic powertracing for sensor node failure analysis,37,2010,http://dl.acm.org/citation.cfm?id=1791227
0," Law, T Alpcan, VCS Lee, A Lo…",Demand response architectures and load management algorithms for energy-efficient power grids: a survey,36,2012,http://ieeexplore.ieee.org/abstract/document/6405519/
1,"Belley, S Gaboury, B Bouchard…",An efficient and inexpensive method for activity recognition within a smart home based on load signatures of appliances,35,2014,http://www.sciencedirect.com/science/article/pii/S1574119213000370
2," Chang, KL Lian, YC Su…",Power-spectrum-based wavelet transform for nonintrusive demand monitoring and load identification,34,2014,http://ieeexplore.ieee.org/abstract/document/6607153/
3,"Rahimi, ADC Chan…",Usage monitoring of electrical devices in a smart home,34,2011,http://ieeexplore.ieee.org/abstract/document/6091313/
4,"Kelly, W Knottenbelt",UK-DALE: A dataset recording UK Domestic Appliance-Level Electricity demand and whole-house demand,34,2014,http://nilmworkshop.org/2014/proceedings/kelly_ukdale.pdf
5," Rahman, E A",A noninvasive threat analyzer for advanced metering infrastructure in smart grid,34,2013,http://ieeexplore.ieee.org/abstract/document/6399557/
6,"Parson, S Ghosh, M Weal, A Rogers",Using hidden markov models for iterative non-intrusive appliance monitoring,35,2011,https://eprints.soton.ac.uk/272990/
7," Lin, MS Tsai",Development of an improved time–frequency analysis-based nonintrusive load monitor for load demand identification,34,2014,http://ieeexplore.ieee.org/abstract/document/6675823/
8,"Jacobsson, M Boldt, B Carlsson",A risk analysis of a smart home automation system,36,2016,http://www.sciencedirect.com/science/article/pii/S0167739X15002812
9,"Luo, LK Norford, SR Shaw…",Monitoring HVAC equipment electrical loads from a centralized location--methods and field test results/Discussion,34,2002,http://search.proquest.com/openview/1993eaacada3e775a0e878090498e67b/1?pq-origsite=gscholar&cbl=34619
0," Armstrong, CR Laughman, SB Leeb…",Detection of rooftop cooling unit faults based on electrical measurements,33,2006,http://www.tandfonline.com/doi/abs/10.1080/10789669.2006.10391172
1,"Benveniste, BC Levy, E Fabre…","A calculus of stochastic systems for the specification, simulation, and hidden state estimation of mixed stochastic/nonstochastic systems",32,1995,http://www.sciencedirect.com/science/article/pii/0304397594002951
2,"Kuhns, PR Edwards, G Nikolich…",Utility monitoring and disaggregation systems and methods of use,32,2011,https://www.google.com/patents/US7885917
3,"Bergman, D Jin, J Juen, N Tanaka, C Gunter…",Nonintrusive load-shed verification,31,2011,http://dl.acm.org/citation.cfm?id=1936341
4," Hart, AT Bouloutas",Correcting dependent errors in sequences generated by finite-state processes,31,1993,http://ieeexplore.ieee.org/abstract/document/243442/
5,"De Paola, M Ortolani, G Lo Re, G Anastasi…",Intelligent management systems for energy efficiency in buildings: A survey,31,2014,http://dl.acm.org/citation.cfm?id=2611779
